cityId,productionTotal,goldTotal,cityTotal,cultureScore,goldScore,cityScore,scienceTotal,scienceScore,productionScore,cultureTotal,foodTotal,foodScore
1,492.45000000000005,289.80000000000007,7,0,2,1,182.68000000000018,2,3,101.97000000000001,268.0,0
2,490.85,660.7,14,3,4,3,196.94000000000003,3,3,164.7500000000001,321.0,1
3,159.14999999999995,251.5,8,2,0,1,180.63,2,1,153.38000000000002,469.0,3
4,157.3,262.5,3,1,1,0,150.22000000000014,0,1,140.42000000000002,195.0,0
5,105.39999999999999,250.0,6,1,0,0,185.06,2,0,141.82000000000002,500.0,3
6,480.50000000000006,305.0,12,0,2,3,203.9200000000002,4,3,111.22000000000004,529.0,3
7,422.6000000000003,452.2999999999999,13,1,4,3,195.2999999999999,3,3,141.93000000000004,442.0,2
8,473.9,406.0499999999999,12,0,4,3,212.50000000000006,4,3,99.73000000000002,362.0,1
9,253.40000000000006,337.9999999999999,15,3,3,4,202.13,3,3,169.83999999999997,454.0,3
10,174.39999999999995,275.52,14,4,2,3,196.41,3,1,211.89000000000001,576.0,4
11,214.4,252.5,9,3,0,2,177.01,2,2,161.56000000000003,443.0,2
12,144.24999999999994,250.95,7,1,0,1,185.06,2,1,129.82000000000002,494.0,3
13,83.84999999999994,278.5499999999997,9,0,2,2,191.77,3,0,105.19999999999995,567.0,4
14,158.65,257.5,5,1,1,0,166.55999999999997,1,1,143.70000000000005,330.0,1
15,201.64999999999998,253.75,8,3,0,1,175.60999999999999,1,2,157.15999999999997,404.0,2
16,176.4,264.13,10,3,1,2,179.14,2,1,156.28000000000003,458.0,3
17,149.05000000000004,268.80000000000007,6,4,1,0,161.71999999999997,0,1,197.57999999999984,295.0,0
18,321.79999999999984,450.35,11,2,4,3,173.06999999999988,1,3,146.45000000000002,376.0,1
19,411.7999999999999,533.8999999999999,17,3,4,4,277.51999999999987,4,3,172.93000000000018,501.0,3
20,446.2000000000001,386.5499999999997,15,2,3,4,239.70999999999995,4,3,153.09000000000006,492.0,3
21,542.4,395.95000000000016,16,4,4,4,256.87000000000006,4,4,297.00999999999976,259.0,0
22,492.2000000000004,301.75,12,0,2,3,220.09000000000006,4,3,111.82999999999993,529.0,3
23,486.10000000000025,687.8000000000006,17,3,4,4,237.01999999999995,4,3,172.15,454.0,3
24,576.6000000000003,731.2000000000004,13,3,4,3,189.44,2,4,159.33000000000007,270.0,0
25,429.60000000000014,687.0500000000003,17,4,4,4,193.26000000000002,3,3,214.68000000000004,474.0,3
26,449.34999999999997,309.6999999999999,13,3,2,3,188.95999999999992,2,3,170.96999999999994,457.0,3
27,376.94999999999993,307.0,13,0,2,3,214.5499999999999,4,3,114.11999999999999,599.0,4
28,506.65,298.75,14,0,2,3,206.15999999999988,4,4,112.86999999999992,621.0,4
29,532.5,556.25,18,4,4,4,195.93000000000018,3,4,178.3000000000001,461.0,3
30,145.75,259.25,4,1,1,0,164.97,0,1,144.92000000000002,355.0,1
31,229.50000000000006,257.25,6,3,0,0,164.21000000000004,0,2,159.58,329.0,1
32,76.94999999999999,413.29999999999995,11,0,4,3,201.07,3,0,110.48,586.0,4
33,153.89999999999998,271.59999999999997,8,3,1,1,174.89999999999998,1,1,154.44,418.0,2
34,175.04999999999998,255.5,6,2,0,0,172.55999999999997,1,1,153.29999999999998,383.0,2
35,168.29999999999993,362.84999999999985,8,2,3,1,168.16999999999993,1,1,150.78000000000003,329.0,1
36,152.65,254.5,6,2,0,0,180.05999999999997,2,1,145.8,359.0,1
37,138.9,257.25,3,1,0,0,161.21000000000004,0,1,138.8800000000001,332.0,1
38,95.64999999999993,248.0,6,0,0,0,188.3,2,0,103.05999999999995,583.0,4
39,184.7000000000001,273.0500000000001,4,1,1,0,162.5399999999999,0,2,145.31000000000006,286.0,0
40,150.15000000000003,356.9999999999998,9,3,3,2,165.91999999999993,1,1,169.77000000000004,330.0,1
41,91.95000000000005,262.2499999999998,9,0,1,2,203.46999999999994,4,0,112.23,736.0,4
42,202.25000000000003,253.5,9,3,0,2,177.17999999999998,2,2,159.72,421.0,2
43,168.15,254.5,5,2,0,0,170.05999999999997,1,1,145.8,357.0,1
44,103.0,307.75,6,1,2,0,175.60999999999999,1,0,137.16,383.0,2
45,191.29999999999998,255.5,8,3,0,1,171.38,1,2,156.96000000000004,400.0,2
46,235.94999999999987,262.5,5,2,1,0,150.22000000000014,0,2,150.92000000000002,194.0,0
47,206.44999999999996,257.25,4,2,0,0,161.21000000000004,0,2,151.4800000000001,266.0,0
48,500.8999999999997,299.25,12,0,2,3,200.69999999999987,3,4,109.5599999999999,500.0,3
49,525.8499999999999,306.25,9,0,2,2,177.42,2,4,95.18999999999991,344.0,1
50,468.8499999999999,354.55,7,0,3,1,162.52999999999992,0,3,110.02000000000004,308.0,1
51,495.7,352.15000000000003,17,4,3,4,275.00999999999993,4,3,290.64000000000004,492.0,3
52,444.9000000000002,328.6499999999999,18,4,3,4,244.0799999999999,4,3,185.98,609.0,4
53,556.3500000000001,557.6000000000001,12,0,4,3,205.08000000000007,4,4,88.87999999999992,259.0,0
54,463.45,730.2000000000003,19,4,4,4,272.07000000000005,4,3,203.65,533.0,4
55,162.09999999999997,251.98,9,3,0,2,179.39,2,1,156.34000000000003,503.0,3
56,131.00000000000006,349.7,5,1,3,0,174.87000000000003,1,0,131.05000000000007,293.0,0
57,160.84999999999997,255.0,7,3,0,1,172.01000000000002,1,1,157.16000000000005,417.0,2
58,171.74999999999994,267.0,9,0,1,2,199.43,3,1,117.69999999999996,623.0,4
59,160.45,259.25,3,1,1,0,154.77000000000007,0,1,144.08000000000007,247.0,0
60,131.55,260.75,3,1,1,0,152.6700000000001,0,1,132.86000000000004,237.0,0
61,140.35,254.25,7,2,0,1,175.83999999999997,2,1,147.17999999999998,411.0,2
62,131.35,253.0,6,2,0,0,175.23999999999998,1,1,148.38000000000002,436.0,2
63,184.45000000000005,258.15,11,3,1,3,181.79,2,2,158.34000000000003,474.0,3
64,175.54999999999998,254.5,5,2,0,0,172.55999999999997,1,1,153.29999999999998,380.0,1
65,113.85000000000004,261.14999999999986,7,0,1,1,186.44,2,0,101.85999999999996,546.0,4
66,116.19999999999999,267.9500000000001,7,0,1,1,227.97000000000003,4,0,109.08000000000004,428.0,2
67,660.1999999999996,344.9999999999999,16,4,3,4,193.0599999999999,3,4,183.29999999999987,429.0,2
68,630.3499999999995,619.65,17,4,4,4,189.66999999999993,3,4,185.23999999999995,448.0,2
69,490.35000000000014,297.5,14,1,2,3,209.53999999999988,4,3,141.73999999999995,649.0,4
70,560.25,387.8999999999999,16,3,3,4,242.42000000000013,4,4,171.87000000000015,388.0,2
71,460.54999999999995,555.55,15,4,4,4,331.3800000000001,4,3,270.4800000000001,265.0,0
72,193.05,254.25,8,3,0,1,172.83999999999997,1,2,159.48,401.0,2
73,249.5,259.0,5,2,1,0,155.12000000000006,0,2,152.60000000000008,249.0,0
74,211.09999999999997,256.75,4,2,0,0,161.91000000000003,0,2,151.7200000000001,292.0,0
75,109.25000000000004,246.75,8,1,0,1,198.76,3,0,124.56000000000002,639.0,4
76,188.04999999999993,258.25,5,2,1,0,156.67000000000004,0,2,149.0600000000001,283.0,0
77,230.94999999999996,248.75,12,4,0,3,187.84,2,2,174.83999999999997,557.0,4
78,204.94999999999996,257.25,4,2,0,0,161.21000000000004,0,2,151.4800000000001,267.0,0
79,149.65,356.29999999999995,9,2,3,2,172.55999999999997,1,1,147.29999999999998,393.0,2
80,178.1,294.25,8,2,2,1,172.83999999999997,1,1,153.38,398.0,2
81,450.85,355.24999999999983,13,1,3,3,242.13000000000017,4,3,131.83999999999997,383.0,2
82,618.7999999999997,479.0000000000001,18,4,4,4,199.31000000000017,3,4,276.9100000000001,507.0,3
83,721.2000000000002,599.0500000000003,18,4,4,4,199.07999999999984,3,4,186.06999999999996,512.0,3
84,644.3999999999997,361.04999999999984,17,4,3,4,191.37999999999997,3,4,179.88999999999993,471.0,3
85,525.9499999999999,306.25,11,4,2,3,172.89,1,4,184.9,305.0,0
86,497.8,409.39999999999986,20,4,4,4,298.58000000000015,4,4,174.3899999999999,673.0,4
87,94.1000000000001,488.1000000000002,9,1,4,2,179.90999999999985,2,0,133.28999999999994,448.0,2
88,77.25,348.95000000000016,10,0,3,2,195.56,3,0,107.47999999999996,577.0,4
89,100.7,251.25999999999988,7,0,0,1,201.04000000000002,3,0,110.79999999999995,645.0,4
90,180.54999999999998,278.5,8,2,2,1,172.55999999999997,1,2,153.29999999999998,380.0,1
91,111.2,287.19999999999993,10,0,2,2,208.08999999999992,4,0,114.96000000000004,762.0,4
92,129.0,295.5,5,1,2,0,169.55999999999997,1,0,145.5,347.0,1
93,181.25,253.0,9,3,0,2,181.7,2,2,154.85999999999996,420.0,2
94,222.70000000000005,337.6500000000002,8,3,3,1,158.21999999999994,0,2,155.25000000000006,275.0,0
95,125.65,388.29999999999995,5,1,3,0,165.05999999999997,0,0,140.8000000000001,318.0,1
96,579.4,298.7,15,1,2,4,221.04000000000008,4,4,121.82999999999993,705.0,4
97,436.60000000000014,340.1999999999999,14,3,3,3,188.38999999999993,2,3,154.79,491.0,3
98,506.00000000000006,498.59999999999997,18,4,4,4,202.5200000000001,3,4,198.86999999999995,483.0,3
99,644.3999999999997,361.04999999999984,17,4,3,4,191.37999999999997,3,4,179.88999999999993,471.0,3
100,525.9499999999999,306.25,11,4,2,3,172.89,1,4,184.9,305.0,0
101,497.8,409.39999999999986,20,4,4,4,298.58000000000015,4,4,174.3899999999999,673.0,4
102,94.1000000000001,488.1000000000002,9,1,4,2,179.90999999999985,2,0,133.28999999999994,448.0,2
103,77.25,348.95000000000016,10,0,3,2,195.56,3,0,107.47999999999996,577.0,4
104,100.7,251.25999999999988,7,0,0,1,201.04000000000002,3,0,110.79999999999995,645.0,4
105,180.54999999999998,278.5,8,2,2,1,172.55999999999997,1,2,153.29999999999998,380.0,1
106,111.2,287.19999999999993,10,0,2,2,208.08999999999992,4,0,114.96000000000004,762.0,4
107,129.0,295.5,5,1,2,0,169.55999999999997,1,0,145.5,347.0,1
108,181.25,253.0,9,3,0,2,181.7,2,2,154.85999999999996,420.0,2
109,222.70000000000005,337.6500000000002,8,3,3,1,158.21999999999994,0,2,155.25000000000006,275.0,0
110,125.65,388.29999999999995,5,1,3,0,165.05999999999997,0,0,140.8000000000001,318.0,1
111,579.4,298.7,15,1,2,4,221.04000000000008,4,4,121.82999999999993,705.0,4
112,436.60000000000014,340.1999999999999,14,3,3,3,188.38999999999993,2,3,154.79,491.0,3
113,506.00000000000006,498.59999999999997,18,4,4,4,202.5200000000001,3,4,198.86999999999995,483.0,3
114,570.4,315.25,15,4,2,4,289.96000000000004,4,4,202.63000000000017,378.0,1
115,634.75,384.3500000000001,11,4,3,3,163.10999999999996,0,4,193.0800000000001,249.0,0
116,488.79999999999995,612.55,10,0,4,2,181.83999999999997,2,3,97.55000000000001,343.0,1
117,612.55,362.09999999999957,18,4,3,4,194.59999999999988,3,4,180.60999999999999,534.0,4
118,556.25,425.0,8,0,4,1,165.50999999999985,0,4,87.61999999999992,246.0,0
119,218.39999999999995,257.5,5,2,1,0,157.22000000000003,0,2,149.12000000000012,269.0,0
120,229.50000000000006,258.0,8,4,1,1,164.56,0,2,210.96999999999997,327.0,1
121,186.04999999999998,281.5,8,2,2,1,172.55999999999997,1,2,153.29999999999998,380.0,1
122,123.25000000000003,257.75,9,1,1,2,194.84,3,0,130.5,604.0,4
123,185.54999999999998,254.5,7,2,0,1,172.55999999999997,1,2,153.29999999999998,387.0,2
124,190.09999999999994,277.8,6,2,2,0,156.47999999999996,0,2,149.92000000000007,252.0,0
125,128.9,257.25,2,1,0,0,161.21000000000004,0,0,138.8800000000001,348.0,1
126,111.80000000000004,257.25,2,1,0,0,163.71000000000004,0,0,131.98000000000008,360.0,1
127,77.39999999999999,367.34999999999997,4,0,3,0,166.79999999999998,1,0,89.88000000000005,295.0,0
128,438.89999999999975,490.9499999999998,13,2,4,3,186.12000000000003,2,3,146.49999999999994,445.0,2
